State,ssvf_award_total,Number of CoCs,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Sheltered ES Homeless Veterans,Sheltered TH Homeless Veterans,Sheltered SH Homeless Veterans
Alaska,397879.0,2.0,210,188,22,2013,74670.67751244002,501604.2618486566,211259.883,616.1024199999999,61849.811,0.0,6686.46092,3440.63763,217751.36687865658,17304,0,0,0
Arizona,2477610.0,3.0,1222,901,321,2013,527399.53925347,3220904.7489936324,1409346.495,21201.368309999998,343819.709,0.0,108885.30599,36145.36682999991,1301506.5038636322,137362,0,0,0
Arkansas,495404.0,6.0,462,326,136,2013,250095.0453807206,1946614.5066218246,924670.594,7938.3338,79062.83799999999,0.0,31331.485479999996,13484.362349999992,890126.8929918247,86763,0,0,0
California,4760614.0,40.0,12895,4886,8009,2013,1795454.6913400802,12707535.799307633,5397860.030999999,145008.1874,1599760.4570000004,0.0,192392.35384,162955.51911466962,5209559.250952964,444432,0,0,0
Colorado,1989671.0,3.0,685,452,233,2013,390823.8420943599,2594676.6067693536,1212142.876,112613.65734,324347.44100000005,0.0,62854.32576000001,32483.449279999943,850234.8573893536,90822,0,0,0
Connecticut,384328.0,6.0,341,267,74,2013,207759.3372707,1078566.992297213,365637.836,8332.19842,96415.817,0.0,13794.212329999998,24195.049659999968,570191.8788872131,51360,0,0,0
Delaware,897316.875,1.0,89,86,3,2013,78015.97314887999,362616.9770497742,169963.428,858.74693,34330.953,0.0,3894.9881299999997,5594.955560000001,147973.90542977417,14676,0,0,0
District of Columbia,1265661.25,1.0,499,435,64,2013,31165.781907629997,2295598.6360677346,78699.103,153310.2544,31053.919,0.0,1825604.4134199994,2785.2861399999997,204145.6601077349,8800,0,0,0
Florida,2792335.0,28.0,5505,2328,3177,2013,1520562.8654411742,10430773.560782766,4728272.631999998,131869.99681,892554.6810000001,0.0,146087.91454,139644.53303999986,4392343.803392767,479193,0,0,0
Georgia,1987074.0,9.0,1805,900,905,2013,774464.0589053,4670708.934061153,2482164.4450000008,3359.1175000000003,453033.82899999985,0.0,109242.26916,48822.25074000012,1574087.0226611523,179821,0,0,0
